Ano;Trimestre;Tipo;Irregularidade;Aplicação;
2022;4º;Reclamação regulada;Abertura de conta de depósito com documentação ausente, insuficiente ou falsa;"Para os casos envolvendo a abertura de conta de depósito sem documentação necessária e aplicável quando, por exemplo, houver indícios de que: 
- por ocasião da abertura, não houve a qualificação completa do titular;
- a instituição não dispõe de cópia de todos os documentos utilizados para a abertura de conta (ativa) ou as cópias disponíveis não estão legíveis;
- a instituição alega não possuir cópia de documentos de abertura de conta encerrada há menos de 5 anos;
- para as situações em que são encontrados indícios de que a instituição não fez qualquer outra verificação adicional para certificar-se da legitimidade da documentação apresentada, ou não consultou a situação do(s) titular(es) da conta no CPF, para fins de abertura da conta.
";
2022;4º;Reclamação regulada;Abertura de conta de pagamento sem documentação necessária ou com documentação falsa;"Para os casos envolvendo a abertura irregular de conta de pagamento e aplicável quando, por exemplo, houver indícios de que: 
- por ocasião da abertura, não houve a qualificação completa do titular;
- a instituição não dispõe de cópia de todos os documentos utilizados para a abertura de conta de pagamento (ativa) ou as cópias disponíveis não estão legíveis;
- a instituição alega não possuir cópia de documentos de abertura de conta de pagamento;
- a instituição não fez qualquer verificação adicional para certificar-se da legitimidade da documentação apresentada, ou não consultou a situação do(s) titular(es) da conta no CPF, para fins de abertura da conta de pagamento.";
2022;4º;Reclamação regulada;Abertura de conta de pagamento sem documentação necessária ou com documentação falsa - instituição de pagamento;"""Para os casos envolvendo a abertura irregular de conta de pagamento por instituição de pagamento e aplicável quando, por exemplo, houver indícios de que: 
- por ocasião da abertura, não houve a qualificação completa do titular;
- a instituição não dispõe de cópia de todos os documentos utilizados para a abertura de conta de pagamento (ativa) ou as cópias disponíveis não estão legíveis;
- a instituição alega não possuir cópia de documentos de abertura de conta de pagamento;
- a instituição não fez qualquer verificação adicional para certificar-se da legitimidade da documentação apresentada, ou não consultou a situação do(s) titular(es) da conta no CPF, para fins de abertura da conta de pagamento.""
";
2022;4º;Reclamação não regulada;Alteração contratual sem prévio aviso;Para os casos envolvendo alteração contratual por parte da instituição financeira sem prévio aviso.;
2022;4º;Reclamação regulada;Ausência de informações sobre as regras de funcionamento nos contratos de cartões de crédito ou seu descumprimento;"Para os casos envolvendo ausência de previsão das regras de funcionamento nos contratos de prestação de serviços vinculados a cartão de crédito ou seu descumprimento, inclusive aquelas relativas às situações em que a utilização do cartão origina operações de crédito, bem como as respectivas sistemáticas de incidência de encargos.";
2022;4º;Reclamação regulada;Ausência de informações sobre as regras de funcionamento nos contratos de cartões de crédito ou seu descumprimento - instituição de pagamento;"Para os casos envolvendo ausência de previsão das regras de funcionamento nos contratos de prestação de serviços vinculados a cartão de crédito ou seu descumprimento, inclusive aquelas relativas às situações em que a utilização do cartão origina operações de crédito, bem como as respectivas sistemáticas de incidência de encargos.";
2022;4º;Reclamação regulada;Ausência de título adequado relativo a cartão de crédito;Para os casos envolvendo ausência de contratação ou contratação inadequada de cartão de crédito.;
2022;4º;Reclamação regulada;Ausência de título adequado relativo a cartão de crédito consignado;Para os casos envolvendo ausência de contratação ou contratação inadequada de cartão de crédito consignado.;
2022;4º;Reclamação regulada;Bloqueio de valores ou de conta fora do âmbito do Pix;Para os casos em que a instituição realiza o bloqueio indevido de valores ou da própria conta em situações diversas das previstas pelas regras do Pix.;
2022;4º;Reclamação regulada;Bloqueio de valores ou de conta fora do âmbito do Pix - instituição de pagamento;Para os casos em que a instituição realiza o bloqueio indevido de valores ou da própria conta em situações diversas das previstas pelas regras do Pix.;
